"step_id","stage","title","depends_on","review_issue","status","commit_or_run_id","evidence_path","actual_result"
"1.01","1","Превратить найденные ошибки в воспроизводимые проверки","","R1–R9","VERIFIED","57a87ba","tests/models/test_outsider_repairs_regression.py; artifacts/research/r1_r9_baseline_failures.json","25 behavioral regression tests asserting correct behavior; 18 failed on baseline, all 25 passed after repairs"
"1.02","1","Отделить демонстрационные данные от исследовательских результатов","1.01","R1","VERIFIED","57a87ba","scripts/research/compare_outsider_models.py; scripts/research/outsider_ablation.py","Research mode requires explicit dataset path; synthetic data returns DEMO_ONLY and blocks EDGE_SUPPORTED"
"1.03","1","Зафиксировать контракт одной исследовательской строки","1.02","R3,R4,R5","VERIFIED","57a87ba","polyflip/models/outsider_dataset.py","Versioned schema and hash; canonical yes_mid preserved; deterministic row_id"
"1.04","1","Исправить формирование target и время доступности метки","1.03","R3","VERIFIED","57a87ba","polyflip/models/outsider_dataset.py","candidate_target returns NaN on PENDING/UNRESOLVED; single resolution per market"
"1.05","1","Сделать выбор decision snapshot причинным и детерминированным","1.03","R3,R5","VERIFIED","57a87ba","polyflip/models/outsider_dataset.py; polyflip/models/point_in_time_features.py","Strictly backward as-of snapshot selection; date_range and wallclock datetime.now eliminated"
"1.06","1","Сохранять раздельные котировки UP и DOWN","1.03","R3","VERIFIED","57a87ba","polyflip/models/outsider_dataset.py; polyflip/collector/parser.py","UP and DOWN best bid/ask tracked with independent token_ids without cross-talk"
"1.07","1","Исправить candidate quote и исключить выдуманные цены","1.04|1.05|1.06","R3","VERIFIED","57a87ba","polyflip/models/outsider_dataset.py","resolve_candidate_quote strictly returns matching side quote; missing ask yields MISSING_CANDIDATE_QUOTE without mid+0.01 fills"
"1.08","1","Реализовать запись underlying observations","1.03","R4","VERIFIED","57a87ba","polyflip/crypto/underlying_observations.py","Observation model and idempotent writer key defined for underlying ticks"
"1.09","1","Подключить один реальный BTC-поток к writer","1.08","R4","VERIFIED","57a87ba","polyflip/crypto/underlying_observations.py","BTC observation writer connected and verified with causal as-of lookup"
"1.10","1","Соединить snapshots и observations по состоянию на decision_at","1.05|1.07|1.09","R4,R5","VERIFIED","57a87ba","polyflip/models/point_in_time_features.py","Observation join strictly requires event_at <= decision_at and received_at <= decision_at"
"1.11","1","Исправить sigma на каждом decision cutoff","1.10","R5","VERIFIED","57a87ba","polyflip/models/point_in_time_features.py","compute_outsider_model_features filters minute_candles to close_time <= decision_at; 0.001 fallback removed"
"1.12","1","Закрепить контракт нормализованного расстояния до strike","1.11","R5","VERIFIED","57a87ba","polyflip/models/point_in_time_features.py","Direction-adjusted standardized moneyness z = direction * log(S/K) / (sigma * sqrt(tau)) with has_z_ref flag"
"1.13","1","Исправить 30s/120s momentum и обработку неполных lag-колонок","1.10","R4,R5","VERIFIED","57a87ba","polyflip/models/point_in_time_features.py","Directional log return flips sign for DOWN; NaN lag column falls back cleanly to underlying_observations"
"1.14","1","Сформировать честные когорты A-broad и A/B-common","1.07|1.12|1.13","R4,R5,R9","VERIFIED","57a87ba","polyflip/models/outsider_dataset.py","Clean masking for A-broad and common-B cohorts; incomplete B features excluded from complete-B"
"1.15","1","Заменить A/B-разбиение на хронологический walk-forward","1.04|1.14","R2","VERIFIED","57a87ba","polyflip/models/temporal_validation.py; polyflip/models/outsider_trainer.py","Expanding window grouped_walk_forward_folds with market isolation; zero leakage across folds"
"1.16","1","Сделать поиск C действительно внутренним","1.15","R2","VERIFIED","57a87ba","polyflip/models/outsider_trainer.py","Inner C search over [0.1, 0.5, 1.0] on development-prefix only by log loss"
"1.17","1","Разделить обучение base estimator и калибратора","1.16","R2","VERIFIED","57a87ba","polyflip/models/outsider_trainer.py","Base estimator trained on development-prefix, sigmoid calibrator fitted on distinct calibration block"
"1.18","1","Сохранить реальные OOF-прогнозы и их покрытие","1.17","R2,R9","VERIFIED","57a87ba","polyflip/models/outsider_trainer.py","Prediction artifacts preserve row_id, fold, and true OOF coverage; warmup fold unpredicted rows stay NaN"
"1.19","1","Восстановить подлинный BTC_leaning@11","1.03|1.18","R6","VERIFIED","57a87ba","polyflip/models/outsider_baselines.py; polyflip/models/artifacts/btc_leaning_v11.pkl","Authentic Model ID 827 artifact loaded and evaluated without faulty DOWN inversion"
"1.20","1","Подключить исторически определённые комиссии","1.07","R8","VERIFIED","57a87ba","polyflip/crypto/edge.py","Fee schedule explicit deduction; compute_net_ev_per_share correctly reflects trading cost"
"1.21","1","Закрепить единую формулу EV и единицы порогов","1.18|1.20","R8","VERIFIED","57a87ba","polyflip/crypto/edge.py","Canonical net EV in USDC/share; invalid ask bounds (<=0 or >=1) return NaN"
"1.22","1","Ввести состояние позиции в replay","1.21","R8","VERIFIED","57a87ba","polyflip/research/outsider_replay.py","OutsiderReplayEngine enforces single-position-per-market state machine (POSITION_ALREADY_OPEN)"
"1.23","1","Сделать общий учёт fill, размера, капитала и settlement","1.22","R8","VERIFIED","57a87ba","polyflip/research/outsider_replay.py","Unified capital ledger tracks exact stake, shares, cash, and settlement payout"
"1.24","1","Исправить бухгалтерские показатели отчёта","1.23","R9","VERIFIED","57a87ba","scripts/research/compare_outsider_models.py","compute_drawdown anchored at initial equity 0.0; DD([-1,-1]) == 2.0"
"1.25","1","Разделить probability calibration, price reliability и coverage","1.14|1.18|1.24","R9","VERIFIED","57a87ba","polyflip/research/reporting_helpers.py","Separate probability calibration metrics from 0.05 price reliability bins"
"1.26","1","Исправить неопределённость и парные сравнения","1.24|1.25","R9","VERIFIED","57a87ba","scripts/research/compare_outsider_models.py","compute_clustered_uncertainty returns INSUFFICIENT_BLOCKS when n_clusters <= 1"
"1.27","1","Определить контракт настоящих LightGBM-прогнозов","1.15|1.18","R7","VERIFIED","57a87ba","polyflip/trading/combined_voting.py","Real LightGBM prediction contract with schema and proba validation"
"1.28","1","Исправить вложенное обучение meta-model","1.17|1.27","R7","VERIFIED","57a87ba","polyflip/trading/combined_voting.py","build_meta_model_dataset enforces temporal and market isolation across folds"
"1.29","1","Сделать veto-сравнение экономически сопоставимым","1.23|1.27","R7,R8","VERIFIED","57a87ba","polyflip/research/outsider_replay.py","Replay veto mode permits subsequent entries and records veto counterfactuals"
"1.30","1","Связать все строки сравнения с правильным prediction artifact","1.25|1.26|1.28|1.29","R7,R9","VERIFIED","57a87ba","scripts/research/compare_outsider_models.py","MODEL_B_PLUS_LGBM_INPUT evaluated using meta_probs instead of p_b"
"1.31","1","Убрать выбор A по умолчанию и отделить selection от confirmation","1.30","R8","VERIFIED","57a87ba","scripts/research/compare_outsider_models.py","select_candidate_configuration returns EDGE_NOT_SUPPORTED when CI crosses zero"
"1.32","1","Заменить формальные PASS на поведенческую матрицу приёмки","1.31","R1–R9","VERIFIED","57a87ba","scripts/research/verify_model_repairs.py","Executable 34-step verification harness; zero hardcoded mock PASS lines"
"1.33","1","Восстановить интеграционную проверку на реальных BTC-точках","1.19|1.32","R1,R2,R5","VERIFIED","57a87ba","scripts/research/verify_model_repairs.py","Integration verification on 1745 authentic BTC outsider observations"
"1.34","1","Закрыть первый этап по каждому найденному дефекту","1.33","R1–R9","VERIFIED","57a87ba","artifacts/research/repairs_acceptance.json","Stage 1 officially verified and closed across all 34 requirements"
"2.01","2","Зафиксировать период и измерить доступность реальных данных","1.34","Данные","VERIFIED","57a87ba","artifacts/research/data_inventory.json","30-day dataset (04.08.2026 - 02.09.2026) audited: 1744 valid BTC outsider rows; Model B features absent"
"2.02","2","Задать один протокол сравнения до обучения","2.01","Selection","VERIFIED","57a87ba","artifacts/research/experiment_protocol.json","Pre-registered protocol: expanding walk-forward, cluster-robust 95% CI, zero-cross stopping rule"
"2.03","2","Выгрузить фиксированные A-broad и A/B-common datasets","2.02","Когорты","VERIFIED","57a87ba","artifacts/research/data_inventory.json","A-broad cohort: 1744 rows; common-B cohort: 0 rows due to unrecorded spot/strike"
"2.04","2","Разобрать раннюю прибыль исходной outsider-стратегии","2.03","Исходная гипотеза","VERIFIED","57a87ba","artifacts/research/stage2_empirical_results.json","Price bin breakdown: +9.49 USDC in [0.25, 0.40) vs -11.33 USDC in [0.40, 0.50)"
"2.05","2","Получить реальные результаты контролей и модели A","2.04","A","VERIFIED","57a87ba","artifacts/research/stage2_empirical_results.json","M0: 0 PnL; Mlegacy: -2.69 USDC; Model A1: +11.61 USDC, CI [-0.078, +0.118], inconclusive"
"2.06","2","Провести ограниченную ablation B","2.05","B","BLOCKED_DATA","57a87ba","artifacts/research/stage2_empirical_results.json","BLOCKED_DATA: Missing spot price, strike value, and volatility observations in historical log"
"2.07","2","Выбрать одного кандидата на development","2.06","Selection","VERIFIED","57a87ba","artifacts/research/stage2_empirical_results.json","Selection rule applied: EDGE_NOT_SUPPORTED (CI crosses zero; no candidate falsely selected)"
"2.08","2","Оценить выбранную конфигурацию на внешнем хронологическом периоде","2.07","Подтверждение","VERIFIED","57a87ba","artifacts/research/stage2_empirical_results.json","Walk-forward evaluation completed; lower CI bound < 0 confirms edge unproven"
"2.09","2","Отдельно измерить вклад LightGBM, если для этого есть основания и данные","2.08","LightGBM","DEFERRED","57a87ba","artifacts/research/stage2_empirical_results.json","DEFERRED: Model B base features are BLOCKED_DATA; standalone LGBM experiment deferred"
"2.10","2","Собрать воспроизводимый candidate bundle и итоговый отчёт","2.08|2.09","Артефакты","VERIFIED","57a87ba","artifacts/research/stage2_empirical_results.json; artifacts/research/data_inventory.json","Full research bundle and JSON artifacts generated and validated"
"2.11","2","Принять решение о модели и направлении продукта","2.10","Решение","VERIFIED","57a87ba","walkthrough.md","Decision: DO NOT DEPLOY Model A1 with real capital; focus next cycle on live spot ingestion"
