"model_registry_id","calibration_method","feature_variant","C","class_weight","sample_weight","coverage","fold_information","artifact_id","evaluation_protocol_version","status","reason","evidence"
"820","RAW","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","80","polymarket_logreg_eval_v1","REPLAY_READY","RAW score is persisted and the OOF artifact is VALID_FOR_REPLAY.","BASE features=mid_price,spread,time_left_min; raw_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1; fold_id is not persisted but RAW replay does not require retrospective calibration."
"820","RAW","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"820","RAW","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"820","RAW","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"820","PLATT","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","80","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","PLATT calibration artifact is not persisted for this candidate; the persisted method is RAW.","BASE features and raw OOF score are available, but no candidate-specific PLATT assignment/calibration artifact is available."
"820","PLATT","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"820","PLATT","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"820","PLATT","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"820","ISOTONIC","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","80","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","ISOTONIC requires retraining with persisted fold_id and calibration membership.","Step 3 commit 79bc49c: fold_id and train/calibration/validation membership are absent for all 60 candidates; no retrospective Isotonic."
"820","ISOTONIC","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"820","ISOTONIC","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"820","ISOTONIC","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"821","RAW","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","81","polymarket_logreg_eval_v1","REPLAY_READY","RAW score is persisted and the OOF artifact is VALID_FOR_REPLAY.","BASE features=mid_price,spread,time_left_min; raw_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1; fold_id is not persisted but RAW replay does not require retrospective calibration."
