feature,status,evidence
alternation_rate_6,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]"
bb_position,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=Y; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[trend]LL=0.00746 CI=[-0.00184,0.02190] folds+=4; grp[trend]net=0.03323 CI=[-0.00653,0.08828]; perm=0.000123 CI=[-0.000003,0.000315] spos=0.41; sign_stab=0.85"
bb_width,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[trend]LL=0.00746 CI=[-0.00184,0.02190] folds+=4; grp[trend]net=0.03323 CI=[-0.00653,0.08828]; perm=-0.000051 CI=[-0.000150,0.000008] spos=0.09; sign_stab=0.69"
body_to_range,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]"
consec_balance,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[regime]LL=0.01340 CI=[-0.01071,0.04861] folds+=3; grp[regime]net=0.04177 CI=[-0.03268,0.14598]; perm=0.000029 CI=[-0.000010,0.000085] spos=0.18; sign_stab=0.62"
consec_down,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[regime]LL=0.01340 CI=[-0.01071,0.04861] folds+=3; grp[regime]net=0.04177 CI=[-0.03268,0.14598]"
consec_up,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[regime]LL=0.01340 CI=[-0.01071,0.04861] folds+=3; grp[regime]net=0.04177 CI=[-0.03268,0.14598]"
consecutive_down,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[regime]LL=0.01340 CI=[-0.01071,0.04861] folds+=3; grp[regime]net=0.04177 CI=[-0.03268,0.14598]"
consecutive_up,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[regime]LL=0.01340 CI=[-0.01071,0.04861] folds+=3; grp[regime]net=0.04177 CI=[-0.03268,0.14598]"
cvd_1,REDUNDANT,"permutation_hurts_validation=n; drop_group_hurts_oof=Y; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=Y; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=n; paired_trading_economics_impact=n; grp[volume_taker_flow]LL=0.00641 CI=[0.00009,0.01579] folds+=3; grp[volume_taker_flow]net=0.01504 CI=[-0.02231,0.06317]; perm=-0.000507 CI=[-0.001105,0.000002] spos=0.14; sign_stab=0.56; near_dup_ge4: taker_buy_ratio:1.00/5f"
cvd_6,UNSTABLE,"permutation_hurts_validation=Y; drop_group_hurts_oof=Y; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=Y; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[volume_taker_flow]LL=0.00641 CI=[0.00009,0.01579] folds+=3; grp[volume_taker_flow]net=0.01504 CI=[-0.02231,0.06317]; perm=0.000306 CI=[0.000010,0.000673] spos=0.32; sign_stab=0.62"
cvd_trend,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]"
day_of_week,REDUNDANT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=n; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]; near_dup_ge4: dow:1.00/5f"
dev_sq_x_phase,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
deviation_x_time,DATA_QUALITY_BLOCKED,"CONSTANT, DATA_QUALITY_BLOCKED"
direction_lag_1,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]"
direction_lag_2,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]"
