model_registry_id,artifact_id,evaluation_protocol_version,asset,phase,target_coverage,up_lower_threshold,up_upper_threshold,down_lower_threshold,down_upper_threshold,threshold_method,sample_count,trade_count,actual_coverage,future_data_used,status,reason
820,80,polymarket_logreg_eval_v1,BTC,ALL,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
820,80,polymarket_logreg_eval_v1,BTC,ALL,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
820,80,polymarket_logreg_eval_v1,BTC,ALL,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
820,80,polymarket_logreg_eval_v1,BTC,ALL,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
821,81,polymarket_logreg_eval_v1,BTC,ALL,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
821,81,polymarket_logreg_eval_v1,BTC,ALL,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
821,81,polymarket_logreg_eval_v1,BTC,ALL,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
821,81,polymarket_logreg_eval_v1,BTC,ALL,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
822,82,polymarket_logreg_eval_v1,BTC,ALL,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
822,82,polymarket_logreg_eval_v1,BTC,ALL,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
